Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2015-02-03,61.594,61.748,62.13,61.824000000000005,0.004517554761079387,-0.0024940079030899565,8756.55,2050.0,8797.4,2020.8,-0.0046434173733148,0.0144497228820268,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-04,61.809,61.594,62.13,61.717000000000006,0.004637239781127075,0.0034905997337402184,8723.7,2041.5,8756.55,2050.0,-0.00375147746544,-0.0041463414634146,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-05,61.741,61.809,61.748,61.714666666666666,0.0038735673423155154,-0.0011001634066235555,8711.7,2062.5,8723.7,2041.5,-0.0013755631211527,0.0102865540044085,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-06,61.84,61.741,61.594,61.79666666666666,0.0030795485960458235,0.0016034725709010988,8661.05,2055.5,8711.7,2062.5,-0.0058140202256736,-0.0033939393939393,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-07,61.84,61.84,61.809,61.806999999999995,0.0030795485960458235,0.0,8661.05,2055.5,8711.7,2062.5,-0.0058140202256736,-0.0033939393939393,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-08,61.84,61.84,61.741,61.84,0.0030795485960458235,0.0,8661.05,2055.5,8711.7,2062.5,-0.0058140202256736,-0.0033939393939393,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-09,62.151,61.84,61.84,61.94366666666667,0.0026264062748627983,0.005029107373867969,8526.35,2046.7,8661.05,2055.5,-0.0155523868353143,-0.0042811967891024,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-10,62.32,62.151,61.84,62.10366666666667,0.002196763322726572,0.0027191839230260584,8565.55,2068.6,8526.35,2046.7,0.0045975124173882,0.0107001514633311,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-11,62.399,62.32,61.84,62.29,0.0020465068216338114,0.0012676508344031667,8627.4,2068.5,8565.55,2068.6,0.0072207855887829,-4.834187373092824e-05,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-12,62.134,62.399,62.151,62.284333333333336,0.0028606072987051715,-0.004246862930495698,8711.55,2088.5,8627.4,2068.5,0.009753807636136,0.0096688421561517,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-13,62.05,62.134,62.32,62.19433333333333,0.002957707501967473,-0.0013519168249268576,8805.5,2097.0,8711.55,2088.5,0.0107845331772187,0.0040699066315537,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-14,62.05,62.05,62.399,62.077999999999996,0.002957707501967473,0.0,8805.5,2097.0,8711.55,2088.5,0.0107845331772187,0.0040699066315537,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-15,62.05,62.05,62.134,62.05,0.002957707501967473,0.0,8805.5,2097.0,8711.55,2088.5,0.0107845331772187,0.0040699066315537,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-16,62.213,62.05,62.05,62.10433333333333,0.0024364569136985973,0.002626913779210316,8805.5,2097.0,8711.55,2088.5,0.0107845331772187,0.0040699066315537,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
